index,celltype
pDC_P8_S45,pDC
pDC_P8_S46,pDC
pDC_P8_S47,pDC
pDC_P8_S48,pDC
pDC_P9_S49,pDC
pDC_P9_S50,pDC
pDC_P9_S51,pDC
pDC_P9_S52,pDC
pDC_P9_S53,pDC
pDC_P9_S54,pDC
pDC_P9_S55,pDC
pDC_P9_S56,pDC
pDC_P9_S57,pDC
pDC_P9_S58,pDC
pDC_P9_S59,pDC
pDC_P9_S60,pDC
pDC_P9_S61,pDC
pDC_P9_S62,pDC
pDC_P9_S63,pDC
pDC_P9_S64,pDC
pDC_P9_S65,pDC
pDC_P9_S66,pDC
pDC_P9_S67,pDC
pDC_P9_S68,pDC
pDC_P9_S69,pDC
pDC_P9_S70,pDC
pDC_P9_S71,pDC
pDC_P9_S72,pDC
DoubleNeg_P10_S73,DoubleNeg
DoubleNeg_P10_S74,DoubleNeg
DoubleNeg_P10_S75,DoubleNeg
DoubleNeg_P10_S76,DoubleNeg
DoubleNeg_P10_S77,DoubleNeg
DoubleNeg_P10_S78,DoubleNeg
DoubleNeg_P10_S79,DoubleNeg
DoubleNeg_P10_S80,DoubleNeg
DoubleNeg_P10_S81,DoubleNeg
DoubleNeg_P10_S82,DoubleNeg
DoubleNeg_P10_S83,DoubleNeg
DoubleNeg_P10_S84,DoubleNeg
DoubleNeg_P10_S85,DoubleNeg
DoubleNeg_P10_S86,DoubleNeg
DoubleNeg_P10_S87,DoubleNeg
DoubleNeg_P10_S88,DoubleNeg
DoubleNeg_P10_S89,DoubleNeg
DoubleNeg_P10_S90,DoubleNeg
DoubleNeg_P10_S91,DoubleNeg
DoubleNeg_P10_S92,DoubleNeg
DoubleNeg_P10_S93,DoubleNeg
DoubleNeg_P10_S94,DoubleNeg
DoubleNeg_P10_S95,DoubleNeg
DoubleNeg_P10_S96,DoubleNeg
DoubleNeg_P7_S10,DoubleNeg
DoubleNeg_P7_S11,DoubleNeg
DoubleNeg_P7_S12,DoubleNeg
DoubleNeg_P7_S13,DoubleNeg
DoubleNeg_P7_S14,DoubleNeg
DoubleNeg_P7_S15,DoubleNeg
DoubleNeg_P7_S16,DoubleNeg
DoubleNeg_P7_S17,DoubleNeg
DoubleNeg_P7_S18,DoubleNeg
DoubleNeg_P7_S19,DoubleNeg
DoubleNeg_P7_S1,DoubleNeg
DoubleNeg_P7_S20,DoubleNeg
DoubleNeg_P7_S21,DoubleNeg
DoubleNeg_P7_S22,DoubleNeg
DoubleNeg_P7_S23,DoubleNeg
DoubleNeg_P7_S24,DoubleNeg
DoubleNeg_P7_S2,DoubleNeg
DoubleNeg_P7_S3,DoubleNeg
DoubleNeg_P7_S4,DoubleNeg
DoubleNeg_P7_S5,DoubleNeg
DoubleNeg_P7_S6,DoubleNeg
DoubleNeg_P7_S7,DoubleNeg
DoubleNeg_P7_S8,DoubleNeg
DoubleNeg_P7_S9,DoubleNeg
DoubleNeg_P8_S25,DoubleNeg
DoubleNeg_P8_S26,DoubleNeg
DoubleNeg_P8_S27,DoubleNeg
DoubleNeg_P8_S28,DoubleNeg
DoubleNeg_P8_S29,DoubleNeg
DoubleNeg_P8_S30,DoubleNeg
DoubleNeg_P8_S31,DoubleNeg
DoubleNeg_P8_S32,DoubleNeg
DoubleNeg_P8_S33,DoubleNeg
DoubleNeg_P8_S34,DoubleNeg
DoubleNeg_P8_S35,DoubleNeg
DoubleNeg_P8_S36,DoubleNeg
DoubleNeg_P8_S37,DoubleNeg
DoubleNeg_P8_S38,DoubleNeg
DoubleNeg_P8_S39,DoubleNeg
DoubleNeg_P8_S40,DoubleNeg
DoubleNeg_P8_S41,DoubleNeg
DoubleNeg_P8_S42,DoubleNeg
DoubleNeg_P8_S43,DoubleNeg
DoubleNeg_P8_S44,DoubleNeg
DoubleNeg_P8_S45,DoubleNeg
DoubleNeg_P8_S46,DoubleNeg
DoubleNeg_P8_S47,DoubleNeg
DoubleNeg_P8_S48,DoubleNeg
DoubleNeg_P9_S49,DoubleNeg
DoubleNeg_P9_S50,DoubleNeg
DoubleNeg_P9_S51,DoubleNeg
DoubleNeg_P9_S52,DoubleNeg
DoubleNeg_P9_S53,DoubleNeg
DoubleNeg_P9_S54,DoubleNeg
DoubleNeg_P9_S55,DoubleNeg
DoubleNeg_P9_S56,DoubleNeg
DoubleNeg_P9_S57,DoubleNeg
DoubleNeg_P9_S58,DoubleNeg
DoubleNeg_P9_S59,DoubleNeg
DoubleNeg_P9_S60,DoubleNeg
DoubleNeg_P9_S61,DoubleNeg
DoubleNeg_P9_S62,DoubleNeg
DoubleNeg_P9_S63,DoubleNeg
DoubleNeg_P9_S64,DoubleNeg
DoubleNeg_P9_S65,DoubleNeg
DoubleNeg_P9_S66,DoubleNeg
DoubleNeg_P9_S67,DoubleNeg
DoubleNeg_P9_S68,DoubleNeg
DoubleNeg_P9_S69,DoubleNeg
DoubleNeg_P9_S70,DoubleNeg
DoubleNeg_P9_S71,DoubleNeg
DoubleNeg_P9_S72,DoubleNeg
